DATE;BOGMBASEW
1989-04-26;281461
1989-05-03;281461
1989-05-10;281156
1989-05-17;281156
1989-05-24;279823
1989-05-31;279823
1989-06-07;284475
1989-06-14;284475
1989-06-21;282308
1989-06-28;282308
1989-07-05;287580
1989-07-12;287580
1989-07-19;284747
1989-07-26;284747
1989-08-02;283863
1989-08-09;283863
1989-08-16;283879
1989-08-23;283879
1989-08-30;283802
1989-09-06;283802
1989-09-13;285566
1989-09-20;285566
1989-09-27;282035
1989-10-04;282035
1989-10-11;285242
1989-10-18;285242
1989-10-25;283836
1989-11-01;283836
1989-11-08;287248
1989-11-15;287248
1989-11-22;288347
1989-11-29;288347
1989-12-06;292256
1989-12-13;292256
1989-12-20;295032
1989-12-27;295032
1990-01-03;298562
1990-01-10;298562
1990-01-17;293131
1990-01-24;293131
1990-01-31;285378
1990-02-07;285378
1990-02-14;287613
1990-02-21;287613
1990-02-28;290273
1990-03-07;290273
1990-03-14;292910
1990-03-21;292910
1990-03-28;293183
1990-04-04;293183
1990-04-11;298766
1990-04-18;298766
1990-04-25;297222
1990-05-02;297222
1990-05-09;297925
1990-05-16;297925
1990-05-23;296312
1990-05-30;296312
1990-06-06;301894
1990-06-13;301894
1990-06-20;300963
1990-06-27;300963
1990-07-04;304719
1990-07-11;304719
1990-07-18;303468
1990-07-25;303468
1990-08-01;303344
1990-08-08;303344
1990-08-15;305408
1990-08-22;305408
1990-08-29;306343
1990-09-05;306343
1990-09-12;309771
1990-09-19;309771
1990-09-26;306590
1990-10-03;306590
1990-10-10;309970
1990-10-17;309970
1990-10-24;308025
1990-10-31;308025
1990-11-07;312608
1990-11-14;312608
1990-11-21;314345
1990-11-28;314345
1990-12-05;316378
1990-12-12;316378
1990-12-19;314285
1990-12-26;314285
1991-01-02;315373
1991-01-09;315373
1991-01-16;308647
1991-01-23;308647
1991-01-30;304763
1991-02-06;304763
1991-02-13;307065
1991-02-20;307065
1991-02-27;308374
1991-03-06;308374
1991-03-13;312045
1991-03-20;312045
1991-03-27;311353
1991-04-03;311353
1991-04-10;315526
1991-04-17;315526
1991-04-24;313126
1991-05-01;313126
1991-05-08;314369
1991-05-15;314369
1991-05-22;313882
1991-05-29;313882
1991-06-05;317946
1991-06-12;317946
1991-06-19;317436
1991-06-26;317436
1991-07-03;320669
1991-07-10;320669
1991-07-17;319885
1991-07-24;319885
1991-07-31;319218
1991-08-07;319218
1991-08-14;319896
1991-08-21;319896
1991-08-28;320852
1991-09-04;320852
1991-09-11;323965
1991-09-18;323965
1991-09-25;319653
1991-10-02;319653
1991-10-09;323409
1991-10-16;323409
1991-10-23;322857
1991-10-30;322857
1991-11-06;327738
1991-11-13;327738
1991-11-20;327910
1991-11-27;327910
1991-12-04;333705
1991-12-11;333705
1991-12-18;335221
1991-12-25;335221
1992-01-01;339002
1992-01-08;339002
1992-01-15;333438
1992-01-22;333438
1992-01-29;327498
1992-02-05;327498
1992-02-12;331682
1992-02-19;331682
1992-02-26;332497
1992-03-04;332497
1992-03-11;336736
1992-03-18;336736
1992-03-25;335321
1992-04-01;335321
1992-04-08;333112
1992-04-15;333112
1992-04-22;332898
1992-04-29;332898
1992-05-06;334273
1992-05-13;334273
1992-05-20;334183
1992-05-27;334183
1992-06-03;336665
1992-06-10;336665
1992-06-17;336861
1992-06-24;336861
1992-07-01;338374
1992-07-08;338374
1992-07-15;341258
1992-07-22;341258
1992-07-29;340948
1992-08-05;340948
1992-08-12;343506
1992-08-19;343506
1992-08-26;342561
1992-09-02;342561
1992-09-09;348657
1992-09-16;348657
1992-09-23;345770
1992-09-30;345770
1992-10-07;349365
1992-10-14;349365
1992-10-21;349449
1992-10-28;349449
1992-11-04;353556
1992-11-11;353556
1992-11-18;357015
1992-11-25;357015
1992-12-02;358077
1992-12-09;358077
1992-12-16;361330
1992-12-23;361330
1992-12-30;367212
1993-01-06;367212
1993-01-13;361790
1993-01-20;361790
1993-01-27;355621
1993-02-03;355621
1993-02-10;359407
1993-02-17;359407
1993-02-24;360762
1993-03-03;360762
1993-03-10;362484
1993-03-17;362484
1993-03-24;363383
1993-03-31;363383
1993-04-07;368066
1993-04-14;368066
1993-04-21;369672
1993-04-28;369672
1993-05-05;368567
1993-05-12;368567
1993-05-19;371299
1993-05-26;371299
1993-06-02;375043
1993-06-09;375043
1993-06-16;375487
1993-06-23;375487
1993-06-30;377576
1993-07-07;377576
1993-07-14;381085
1993-07-21;381085
1993-07-28;377455
1993-08-04;377455
1993-08-11;381660
1993-08-18;381660
1993-08-25;381123
1993-09-01;381123
1993-09-08;385709
1993-09-15;385709
1993-09-22;383753
1993-09-29;383753
1993-10-06;387573
1993-10-13;387573
1993-10-20;388688
1993-10-27;388688
1993-11-03;388737
1993-11-10;388737
1993-11-17;393009
1993-11-24;393009
1993-12-01;394884
1993-12-08;394884
1993-12-15;397831
1993-12-22;397831
1993-12-29;403232
1994-01-05;403232
1994-01-12;399245
1994-01-19;399245
1994-01-26;393816
1994-02-02;393816
1994-02-09;396983
1994-02-16;396983
1994-02-23;399712
1994-03-02;399712
1994-03-09;400102
1994-03-16;400102
1994-03-23;401140
1994-03-30;401140
1994-04-06;406497
1994-04-13;406497
1994-04-20;407710
1994-04-27;407710
1994-05-04;405350
1994-05-11;405350
1994-05-18;406973
1994-05-25;406973
1994-06-01;410543
1994-06-08;410543
1994-06-15;411065
1994-06-22;411065
